electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
9.0,5.6,6.9,9.0
9.0,5.5772,6.9,9.0
9.0,5.5853,6.8728,9.0
9.0,5.5826,6.8756,9.0
6.9,5.5857,2.35,6.9
5.6,5.6,2.047,5.6
5.6,6.9,2.3,5.587
5.5772,6.9,5.1,5.5869
5.5853,6.8728,4.98,5.5856
5.5826,6.8756,5.5652,5.5864
5.5857,2.35,9.0,5.5861
5.6,2.047,9.0,5.1
6.9,2.3,9.0,5.415
6.9,5.1,9.0,4.95
6.8728,4.98,9.0,4.5
6.8756,5.5652,9.0,3.799
2.35,9.0,6.9,1.497
2.047,9.0,5.6,1.346
2.3,9.0,5.587,1.7
5.1,9.0,5.5869,1.45
4.98,9.0,5.5856,2.45
5.5652,9.0,5.5864,3.956
9.0,6.9,5.5861,8.9
9.0,5.6,5.1,9.0
9.0,5.587,5.415,9.0
9.0,5.5869,4.95,9.0
9.0,5.5856,4.5,9.0
9.0,5.5864,3.799,9.0
6.9,5.5861,1.497,6.9
5.6,5.1,1.346,5.6
5.587,5.415,1.7,5.5838
5.5869,4.95,1.45,5.5801
5.5856,4.5,2.45,5.5589
5.5864,3.799,3.956,5.5615
5.5861,1.497,8.9,5.5571
5.1,1.346,9.0,5.5867
5.415,1.7,9.0,6.8464
4.95,1.45,9.0,4.0
4.5,2.45,9.0,3.0
3.799,3.956,9.0,2.0
1.497,8.9,6.9,0.79
1.346,9.0,5.6,0.79
1.7,9.0,5.5838,0.992
1.45,9.0,5.5801,0.25
2.45,9.0,5.5589,1.21
3.956,9.0,5.5615,3.02
8.9,6.9,5.5571,9.0
9.0,5.6,5.5867,9.0
9.0,5.5838,6.8464,9.0
9.0,5.5801,4.0,9.0
9.0,5.5589,3.0,9.0
9.0,5.5615,2.0,9.0
6.9,5.5571,0.79,6.9
5.6,5.5867,0.79,5.6
5.5838,6.8464,0.992,5.5835
5.5801,4.0,0.25,5.5803
5.5589,3.0,1.21,5.5843
5.5615,2.0,3.02,5.397
5.5571,0.79,9.0,5.407
5.5867,0.79,9.0,5.6
6.8464,0.992,9.0,6.9
4.0,0.25,9.0,6.9
3.0,1.21,9.0,4.55
2.0,3.02,9.0,1.477
0.79,9.0,6.9,0.1
0.79,9.0,5.6,0.1
0.992,9.0,5.5835,0.2
0.25,9.0,5.5803,0.8
1.21,9.0,5.5843,3.02
3.02,9.0,5.397,5.56
9.0,6.9,5.407,8.9
9.0,5.6,5.6,9.0
9.0,5.5835,6.9,9.0
9.0,5.5803,6.9,9.0
9.0,5.5843,4.55,9.0
9.0,5.397,1.477,9.0
6.9,5.407,0.1,6.9
5.6,5.6,0.1,5.6
5.5835,6.9,0.2,5.584
5.5803,6.9,0.8,5.25
5.5843,4.55,3.02,5.227
5.397,1.477,5.56,4.81
5.407,0.1,8.9,5.5575
5.6,0.1,9.0,5.6
6.9,0.2,9.0,6.9
6.9,0.8,9.0,6.9
4.55,3.02,9.0,6.8746
1.477,5.56,9.0,1.998
0.1,8.9,6.9,1.439
0.1,9.0,5.6,0.855
0.2,9.0,5.584,1.439
0.8,9.0,5.25,1.898
3.02,9.0,5.227,2.898
5.56,9.0,4.81,4.349
8.9,6.9,5.5575,8.7
9.0,5.6,5.6,9.0
9.0,5.584,6.9,9.0
9.0,5.25,6.9,9.0
9.0,5.227,6.8746,9.0
9.0,4.81,1.998,9.0
6.9,5.5575,1.439,6.9
5.6,5.6,0.855,5.6
5.584,6.9,1.439,5.5611
5.25,6.9,1.898,5.2
5.227,6.8746,2.898,4.34
4.81,1.998,4.349,4.399
